08ca : or dl, cl
08cb : or bl, cl
08cc : or ah, cl
08cd : or ch, cl
08ce : or dh, cl
08cf : or bh, cl
08d0 : or al, dl
08d1 : or cl, dl
08d2 : or dl, dl
08d3 : or bl, dl
08d4 : or ah, dl
08d5 : or ch, dl
08d6 : or dh, dl
08d7 : or bh, dl
08d8 : or al, bl
08d9 : or cl, bl
08da : or dl, bl
08db : or bl, bl
08dc : or ah, bl
08dd : or ch, bl
08de : or dh, bl
08df : or bh, bl
08e0 : or al, ah
08e1 : or cl, ah
08e2 : or dl, ah
08e3 : or bl, ah
08e4 : or ah, ah
08e5 : or ch, ah
08e6 : or dh, ah
08e7 : or bh, ah
08e8 : or al, ch
08e9 : or cl, ch
08ea : or dl, ch
08eb : or bl, ch
08ec : or ah, ch
08ed : or ch, ch
08ee : or dh, ch
08ef : or bh, ch
08f0 : or al, dh
08f1 : or cl, dh
08f2 : or dl, dh
08f3 : or bl, dh
08f4 : or ah, dh
08f5 : or ch, dh
08f6 : or dh, dh
08f7 : or bh, dh
08f8 : or al, bh
08f9 : or cl, bh
08fa : or dl, bh
08fb : or bl, bh
08fc : or ah, bh
08fd : or ch, bh
08fe : or dh, bh
08ff : or bh, bh
0900 : or dword ptr [rax], eax
0901 : or dword ptr [rcx], eax
0902 : or dword ptr [rdx], eax
0903 : or dword ptr [rbx], eax
0906 : or dword ptr [rsi], eax
0907 : or dword ptr [rdi], eax
0908 : or dword ptr [rax], ecx
0909 : or dword ptr [rcx], ecx
090a : or dword ptr [rdx], ecx
090b : or dword ptr [rbx], ecx
090e : or dword ptr [rsi], ecx
090f : or dword ptr [rdi], ecx
0910 : or dword ptr [rax], edx
0911 : or dword ptr [rcx], edx
0912 : or dword ptr [rdx], edx
0913 : or dword ptr [rbx], edx
0916 : or dword ptr [rsi], edx
0917 : or dword ptr [rdi], edx
0918 : or dword ptr [rax], ebx
0919 : or dword ptr [rcx], ebx
091a : or dword ptr [rdx], ebx
091b : or dword ptr [rbx], ebx
091e : or dword ptr [rsi], ebx
091f : or dword ptr [rdi], ebx
0920 : or dword ptr [rax], esp
0921 : or dword ptr [rcx], esp
0922 : or dword ptr [rdx], esp
0923 : or dword ptr [rbx], esp
0926 : or dword ptr [rsi], esp
0927 : or dword ptr [rdi], esp
0928 : or dword ptr [rax], ebp
0929 : or dword ptr [rcx], ebp
092a : or dword ptr [rdx], ebp
092b : or dword ptr [rbx], ebp
092e : or dword ptr [rsi], ebp
092f : or dword ptr [rdi], ebp
0930 : or dword ptr [rax], esi
0931 : or dword ptr [rcx], esi
0932 : or dword ptr [rdx], esi
0933 : or dword ptr [rbx], esi
0936 : or dword ptr [rsi], esi
0937 : or dword ptr [rdi], esi
0938 : or dword ptr [rax], edi
0939 : or dword ptr [rcx], edi
093a : or dword ptr [rdx], edi
093b : or dword ptr [rbx], edi
093e : or dword ptr [rsi], edi
093f : or dword ptr [rdi], edi
09c0 : or eax, eax
09c1 : or ecx, eax
09c2 : or edx, eax
09c3 : or ebx, eax
09c4 : or esp, eax
09c5 : or ebp, eax
09c6 : or esi, eax
09c7 : or edi, eax
09c8 : or eax, ecx
09c9 : or ecx, ecx
09ca : or edx, ecx
09cb : or ebx, ecx
09cc : or esp, ecx
09cd : or ebp, ecx
09ce : or esi, ecx
09cf : or edi, ecx
09d0 : or eax, edx
09d1 : or ecx, edx
09d2 : or edx, edx
09d3 : or ebx, edx
09d4 : or esp, edx
09d5 : or ebp, edx
09d6 : or esi, edx
09d7 : or edi, edx
09d8 : or eax, ebx
09d9 : or ecx, ebx
09da : or edx, ebx
09db : or ebx, ebx
09dc : or esp, ebx
09dd : or ebp, ebx
09de : or esi, ebx
09df : or edi, ebx
09e0 : or eax, esp
09e1 : or ecx, esp
09e2 : or edx, esp
09e3 : or ebx, esp
09e4 : or esp, esp
09e5 : or ebp, esp
09e6 : or esi, esp
09e7 : or edi, esp
09e8 : or eax, ebp
09e9 : or ecx, ebp
09ea : or edx, ebp
09eb : or ebx, ebp
09ec : or esp, ebp
09ed : or ebp, ebp
09ee : or esi, ebp
09ef : or edi, ebp
09f0 : or eax, esi
09f1 : or ecx, esi
09f2 : or edx, esi
09f3 : or ebx, esi
09f4 : or esp, esi
09f5 : or ebp, esi
09f6 : or esi, esi
09f7 : or edi, esi
09f8 : or eax, edi
09f9 : or ecx, edi
09fa : or edx, edi
09fb : or ebx, edi
09fc : or esp, edi
09fd : or ebp, edi
09fe : or esi, edi
09ff : or edi, edi
0a00 : or al, byte ptr [rax]
0a01 : or al, byte ptr [rcx]
0a02 : or al, byte ptr [rdx]
0a03 : or al, byte ptr [rbx]
0a06 : or al, byte ptr [rsi]
0a07 : or al, byte ptr [rdi]
0a08 : or cl, byte ptr [rax]
0a09 : or cl, byte ptr [rcx]
0a0a : or cl, byte ptr [rdx]
0a0b : or cl, byte ptr [rbx]
0a0e : or cl, byte ptr [rsi]
0a0f : or cl, byte ptr [rdi]
0a10 : or dl, byte ptr [rax]
0a11 : or dl, byte ptr [rcx]
0a12 : or dl, byte ptr [rdx]
0a13 : or dl, byte ptr [rbx]
0a16 : or dl, byte ptr [rsi]
0a17 : or dl, byte ptr [rdi]
0a18 : or bl, byte ptr [rax]
0a19 : or bl, byte ptr [rcx]
0a1a : or bl, byte ptr [rdx]
0a1b : or bl, byte ptr [rbx]
0a1e : or bl, byte ptr [rsi]
0a1f : or bl, byte ptr [rdi]
0a20 : or ah, byte ptr [rax]
0a21 : or ah, byte ptr [rcx]
0a22 : or ah, byte ptr [rdx]
0a23 : or ah, byte ptr [rbx]
0a26 : or ah, byte ptr [rsi]
0a27 : or ah, byte ptr [rdi]
0a28 : or ch, byte ptr [rax]
0a29 : or ch, byte ptr [rcx]
0a2a : or ch, byte ptr [rdx]
0a2b : or ch, byte ptr [rbx]
0a2e : or ch, byte ptr [rsi]
0a2f : or ch, byte ptr [rdi]
0a30 : or dh, byte ptr [rax]
0a31 : or dh, byte ptr [rcx]
0a32 : or dh, byte ptr [rdx]
0a33 : or dh, byte ptr [rbx]
0a36 : or dh, byte ptr [rsi]
0a37 : or dh, byte ptr [rdi]
0a38 : or bh, byte ptr [rax]
0a39 : or bh, byte ptr [rcx]
0a3a : or bh, byte ptr [rdx]
0a3b : or bh, byte ptr [rbx]
0a3e : or bh, byte ptr [rsi]
0a3f : or bh, byte ptr [rdi]
0ac0 : or al, al
0ac1 : or al, cl
0ac2 : or al, dl
0ac3 : or al, bl
0ac4 : or al, ah
0ac5 : or al, ch
0ac6 : or al, dh
0ac7 : or al, bh
0ac8 : or cl, al
0ac9 : or cl, cl
0aca : or cl, dl
0acb : or cl, bl
0acc : or cl, ah
0acd : or cl, ch
