Hexa,Instruction,Type
04c8,"add al, 0xc8",2-byte
04c9,"add al, 0xc9",2-byte
04ca,"add al, 0xca",2-byte
04cb,"add al, 0xcb",2-byte
04cc,"add al, 0xcc",2-byte
04cd,"add al, 0xcd",2-byte
04ce,"add al, 0xce",2-byte
04cf,"add al, 0xcf",2-byte
04d0,"add al, 0xd0",2-byte
04d1,"add al, 0xd1",2-byte
04d2,"add al, 0xd2",2-byte
04d3,"add al, 0xd3",2-byte
04d4,"add al, 0xd4",2-byte
04d5,"add al, 0xd5",2-byte
04d6,"add al, 0xd6",2-byte
04d7,"add al, 0xd7",2-byte
04d8,"add al, 0xd8",2-byte
04d9,"add al, 0xd9",2-byte
04da,"add al, 0xda",2-byte
04db,"add al, 0xdb",2-byte
04dc,"add al, 0xdc",2-byte
04dd,"add al, 0xdd",2-byte
04de,"add al, 0xde",2-byte
04df,"add al, 0xdf",2-byte
04e0,"add al, 0xe0",2-byte
